filename,line,rad_score,session
output_image_line_x_30.53_y_137.73_x_246.75_y_147.18_rad_score_2session_1100.png,"[{'x': 30.53, 'y': 137.73} {'x': 246.75, 'y': 147.18}]",2,1100
output_image_line_x_41.07_y_141.37_x_241.3_y_148.27_rad_score_2session_1100.png,"[{'x': 41.07, 'y': 141.37} {'x': 241.3, 'y': 148.27}]",2,1100
output_image_line_x_28.71_y_136.28_x_254.75_y_146.45_rad_score_2session_1100.png,"[{'x': 28.71, 'y': 136.28} {'x': 254.75, 'y': 146.45}]",2,1100
output_image_line_x_19.99_y_144.27_x_262.74_y_147.91_rad_score_1session_12010.png,"[{'x': 19.99, 'y': 144.27} {'x': 262.74, 'y': 147.91}]",1,12010
output_image_line_x_39.97_y_145.0_x_234.76_y_150.81_rad_score_1session_12010.png,"[{'x': 39.97, 'y': 145.0} {'x': 234.76, 'y': 150.81}]",1,12010
output_image_line_x_18.17_y_143.91_x_263.83_y_148.27_rad_score_1session_12010.png,"[{'x': 18.17, 'y': 143.91} {'x': 263.83, 'y': 148.27}]",1,12010
output_image_line_x_41.43_y_146.09_x_270.74_y_141.37_rad_score_3session_12110.png,"[{'x': 41.43, 'y': 146.09} {'x': 270.74, 'y': 141.37}]",3,12110
output_image_line_x_48.33_y_147.18_x_246.39_y_143.55_rad_score_3session_12110.png,"[{'x': 48.33, 'y': 147.18} {'x': 246.39, 'y': 143.55}]",3,12110
output_image_line_x_38.16_y_144.27_x_269.65_y_142.09_rad_score_3session_12110.png,"[{'x': 38.16, 'y': 144.27} {'x': 269.65, 'y': 142.09}]",3,12110
output_image_line_x_35.25_y_143.55_x_260.2_y_145.36_rad_score_2session_12501.png,"[{'x': 35.25, 'y': 143.55} {'x': 260.2, 'y': 145.36}]",2,12501
output_image_line_x_49.06_y_143.91_x_243.12_y_146.09_rad_score_2session_12501.png,"[{'x': 49.06, 'y': 143.91} {'x': 243.12, 'y': 146.09}]",2,12501
output_image_line_x_35.98_y_143.55_x_261.65_y_145.0_rad_score_2session_12501.png,"[{'x': 35.98, 'y': 143.55} {'x': 261.65, 'y': 145.0}]",2,12501
output_image_line_x_29.07_y_140.28_x_269.29_y_146.45_rad_score_1session_13801.png,"[{'x': 29.07, 'y': 140.28} {'x': 269.29, 'y': 146.45}]",1,13801
output_image_line_x_38.52_y_144.64_x_245.3_y_143.18_rad_score_1session_13801.png,"[{'x': 38.52, 'y': 144.64} {'x': 245.3, 'y': 143.18}]",1,13801
output_image_line_x_32.71_y_143.55_x_266.74_y_147.91_rad_score_1session_13801.png,"[{'x': 32.71, 'y': 143.55} {'x': 266.74, 'y': 147.91}]",1,13801
output_image_line_x_43.97_y_142.09_x_259.47_y_148.63_rad_score_1session_15102.png,"[{'x': 43.97, 'y': 142.09} {'x': 259.47, 'y': 148.63}]",1,15102
output_image_line_x_59.24_y_143.18_x_246.39_y_147.18_rad_score_1session_15102.png,"[{'x': 59.24, 'y': 143.18} {'x': 246.39, 'y': 147.18}]",1,15102
output_image_line_x_43.97_y_143.18_x_254.75_y_147.18_rad_score_1session_15102.png,"[{'x': 43.97, 'y': 143.18} {'x': 254.75, 'y': 147.18}]",1,15102
output_image_line_x_19.99_y_142.46_x_264.92_y_152.27_rad_score_1session_15710.png,"[{'x': 19.99, 'y': 142.46} {'x': 264.92, 'y': 152.27}]",1,15710
output_image_line_x_34.89_y_147.18_x_251.84_y_151.9_rad_score_1session_15710.png,"[{'x': 34.89, 'y': 147.18} {'x': 251.84, 'y': 151.9}]",1,15710
output_image_line_x_21.8_y_139.91_x_271.47_y_155.18_rad_score_1session_15710.png,"[{'x': 21.8, 'y': 139.91} {'x': 271.47, 'y': 155.18}]",1,15710
output_image_line_x_46.88_y_145.36_x_243.85_y_142.82_rad_score_1session_15810.png,"[{'x': 46.88, 'y': 145.36} {'x': 243.85, 'y': 142.82}]",1,15810
